accountsservice 23.13.9-1
reiserfsprogs 3.6.27-4
rofi 1.7.5-1
rp-pppoe 3.15-2
rsync 3.2.7-4
rtkit 0.13-2
s-nail 14.9.24-2
screengrab 2.6.0-1
scrot 1.9-1
sed 4.9-3
sg3_utils 1.47-1
smartmontools 7.3-1
sshfs 3.7.3-1
stm32cubeide 1.12.1-1
sudo 1.9.13.p3-1
sysfsutils 2.1.1-1
sysstat 12.7.2-1
thunar-archive-plugin 0.5.1-1
tk 8.6.13-1
tldr 3.2.0-1
tnt-ncurses5-compat-libs 6.3-15
tree 2.1.0-1
ttf-bitstream-vera 1.10-15
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-liberation 2.1.5-1
ttf-opensans 1.101-2
ueberzug 18.2.0-2
unrar 1:6.2.7-1
unzip 6.0-19
upower 1.90.0-4
usb_modeswitch 2.6.1-3
usbutils 015-2
vi 1:070224-6
visual-studio-code-bin 1.72.0-1
vpnc 1:0.5.3.r526.r213-1
wget 1.21.3-1
which 2.21-6
whois 5.5.17-1
wireless-regdb 2023.05.03-1
wireless_tools 30.pre9-3
wpa_supplicant 2:2.10-8
xbindkeys 1.8.7-4
xdg-user-dirs 0.18-1
xdg-user-dirs-gtk 0.11-1
xdg-utils 1.1.3+25+g8ae0263-1
xed 3.2.8-1
xf86-input-libinput 1.3.0-1
xfce4-terminal 1.0.4-1
xfsprogs 6.2.0-1
xl2tpd 1.3.18-1
xorg-xbacklight 1.2.3-3
xorg-xdpyinfo 1.3.4-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkill 1.0.6-1
xorg-xrandr 1.5.2-1
xsettingsd 1.0.2-1
xterm 380-1
yay 12.0.4-1
